,Median_Income,NVO,LLY
Normal,-0.7359231045484588,-0.8399297323523722,-0.6407950337851228
Obesity_1,0.6875374328298858,0.8514638664292863,0.603802398139434
Obesity_2,0.7191934386720635,0.8601395818769106,0.6858846121496573
Obesity_3,0.6934992827266014,0.8696762490291591,0.7023111712278074
